library,day_num,day_name,hour,opening_type,average_transactions
Burnt Oak,0,Monday,0,closed,0.0
Burnt Oak,0,Monday,1,closed,0.0
Burnt Oak,0,Monday,2,closed,0.0
Burnt Oak,0,Monday,3,closed,0.0
Burnt Oak,0,Monday,4,closed,0.0
Burnt Oak,0,Monday,5,closed,0.0
Burnt Oak,0,Monday,6,closed,0.0
Burnt Oak,0,Monday,7,closed,0.0
Burnt Oak,0,Monday,8,closed,0.0
Burnt Oak,0,Monday,9,SSO,14.06896551724138
Burnt Oak,0,Monday,10,SSO,10.0
Burnt Oak,0,Monday,11,SSO,18.607142857142858
Burnt Oak,0,Monday,12,SSO,11.392857142857142
Burnt Oak,0,Monday,13,SSO,12.444444444444445
Burnt Oak,0,Monday,14,staffed,21.258064516129032
Burnt Oak,0,Monday,15,staffed,26.1875
Burnt Oak,0,Monday,16,staffed,28.84375
Burnt Oak,0,Monday,17,staffed,31.37931034482759
Burnt Oak,0,Monday,18,staffed,18.206896551724142
Burnt Oak,0,Monday,19,staffed,11.0
Burnt Oak,0,Monday,20,closed,0.0
Burnt Oak,0,Monday,21,closed,0.0
Burnt Oak,0,Monday,22,closed,0.0
Burnt Oak,0,Monday,23,closed,0.0
Burnt Oak,1,Tuesday,0,closed,0.0
Burnt Oak,1,Tuesday,1,closed,0.0
Burnt Oak,1,Tuesday,2,closed,0.0
Burnt Oak,1,Tuesday,3,closed,0.0
Burnt Oak,1,Tuesday,4,closed,0.0
Burnt Oak,1,Tuesday,5,closed,0.0
Burnt Oak,1,Tuesday,6,closed,0.0
Burnt Oak,1,Tuesday,7,closed,0.0
Burnt Oak,1,Tuesday,8,closed,0.0
Burnt Oak,1,Tuesday,9,SSO,14.423076923076925
Burnt Oak,1,Tuesday,10,SSO,8.888888888888891
Burnt Oak,1,Tuesday,11,SSO,11.344827586206893
Burnt Oak,1,Tuesday,12,SSO,9.111111111111109
Burnt Oak,1,Tuesday,13,SSO,10.774193548387096
Burnt Oak,1,Tuesday,14,SSO,12.096774193548386
Burnt Oak,1,Tuesday,15,SSO,14.625
Burnt Oak,1,Tuesday,16,SSO,20.28125
Burnt Oak,1,Tuesday,17,closed,0.0
Burnt Oak,1,Tuesday,18,closed,0.0
Burnt Oak,1,Tuesday,19,closed,0.0
Burnt Oak,1,Tuesday,20,closed,0.0
Burnt Oak,1,Tuesday,21,closed,0.0
Burnt Oak,1,Tuesday,22,closed,0.0
Burnt Oak,1,Tuesday,23,closed,0.0
Burnt Oak,2,Wednesday,0,closed,0.0
Burnt Oak,2,Wednesday,1,closed,0.0
Burnt Oak,2,Wednesday,2,closed,0.0
Burnt Oak,2,Wednesday,3,closed,0.0
Burnt Oak,2,Wednesday,4,closed,0.0
Burnt Oak,2,Wednesday,5,closed,0.0
Burnt Oak,2,Wednesday,6,closed,0.0
Burnt Oak,2,Wednesday,7,closed,0.0
